,단어,부정,긍정
301,IM,0.055310752,-0.011740934
302,IN,-0.046778463,0.002046097
303,IP,0.017292311,-0.038629957
304,IS,-0.019934462,0.020351347
305,IT,-0.020286594,-0.05462103
306,J,0.053712353,-0.077930704
307,K,-0.0015117889,-0.015301174
308,KB,0.0011507102,-0.037711862
309,KBS,0.021150187,0.03259935
310,KT,0.06645944,-0.061368078
311,L,-0.0120673245,-0.003909805
312,LED,0.013334879,-0.01589113
313,LG,0.040551692,-0.021506641
314,LPGA,0.009146403,0.017387455
315,LS,-0.010352073,-0.03312764
316,M,-0.01758995,-0.01690621
317,MBC,0.063524745,0.02776623
318,MBN,0.053391058,0.020841578
319,MC,-0.015071383,-0.026964804
320,MOU,0.021090202,-0.023740832
321,MS,0.02322495,-0.03828901
322,N,0.014671146,-0.02352722
323,NA,-0.019277371,0.04804434
324,NE,0.009349538,-0.039533008
325,NLL,-0.0695149,-0.07627798
326,NS,-0.028594756,-0.012006374
327,NTSB,-0.01315455,0.011569226
328,New,0.037803218,-0.030781224
329,O,-0.012286359,-0.06631688
330,OC,-0.013613803,-0.008382598
331,OS,-0.045668527,-0.04967647
332,OSEN,0.044030964,-0.07696006
333,P,0.02650989,0.019999906
334,PC,0.041948624,-0.04179554
335,PD,0.047476355,-0.028516587
336,PGA,-0.013419385,-0.01292773
337,PI,0.02020029,0.002375422
338,PM,-0.008253851,-0.009257544
339,POP,0.027222715,0.0038778405
340,PS,0.035007298,0.012888867
341,Q,0.075064816,-0.029476894
342,R,-0.0021886714,-0.057017706
343,S,0.049850866,0.015704343
344,SBS,0.07143743,0.0080652535
345,SI,0.032531705,0.0040976694
346,SK,0.017644815,-0.071779296
347,SNS,0.013635471,-0.05651969
348,SP,-0.010284635,-0.06121372
349,SS,-0.025716987,0.011653332
350,ST,-0.0412578,-0.012784484
351,T,0.009991185,0.017339747
352,TI,-0.0027488358,-0.015519571
353,TS,0.016480936,-0.016649928
354,TV,-0.008091493,-0.06058027
355,The,0.010375831,0.024782892
356,U,0.012336634,-0.025881194
357,V,0.026870932,-0.022637052
358,W,0.043986186,-0.035514884
359,X,0.010251533,-0.024987344
360,Y,0.01785142,-0.025575044
361,Z,0.009625921,-0.032371204
362,[,0.05869289,0.005576074
363,],0.026857965,-0.008721703
364,^,0.06052183,0.032133937
365,_,0.021143416,-0.091208205
366,`,-0.028780533,-0.02517689
367,a,-0.061095946,-0.031856246
368,ab,-0.016651442,0.0052873753
369,ac,0.036890887,-0.021997225
370,ad,-0.010295009,-0.010550138
371,al,0.047801673,0.02721892
372,all,0.004196964,-0.10689078
373,am,-0.03082462,-0.03475434
374,an,-0.05817783,-0.0065967543
375,ar,-0.023930795,-0.04260617
376,as,0.0074703246,0.008971212
377,at,-0.02617091,-0.04590139
378,ation,-0.03047693,-0.029750116
379,ay,0.011601035,-0.033801433
